         5315333 function calls (5109638 primitive calls) in 8.355 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10885    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
      495    0.003    0.000    0.003    0.000 {method '__exit__' of '_io._IOBase' objects}
      493    0.003    0.000    0.017    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       64    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
1568/1567    0.003    0.000    0.004    0.000 core.py:1556(concrete_or_error)
     1500    0.003    0.000    0.043    0.000 ad.py:127(<genexpr>)
     2039    0.003    0.000    0.004    0.000 array.py:1029(_get_aval_array)
      642    0.003    0.000    0.006    0.000 pjit.py:403(_split_layout_and_sharding)
     3025    0.003    0.000    0.003    0.000 contextlib.py:485(__init__)
     48/0    0.003    0.000    0.000          random.py:671(normal)
     9079    0.003    0.000    0.003    0.000 {method 'append' of 'collections.deque' objects}
     5845    0.003    0.000    0.003    0.000 {method 'pop' of 'dict' objects}
        1    0.003    0.003    0.003    0.003 xla_client.py:68(make_cpu_client)
      390    0.003    0.000    0.003    0.000 {built-in method jaxlib.mlir._mlir_libs._mlir.ir.name}
       49    0.003    0.000    0.206    0.004 func.py:38(__init__)
     2151    0.003    0.000    0.005    0.000 pjit.py:302(_read_pgle_profiler)
